task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
1,False,0.1111111119389534,20,5,10,128,0.1,0,0.0,0.75
2,False,0.8100000023841858,20,5,10,128,0.1,0,0.0,0.75
3,False,0.6172839403152466,20,5,10,128,0.1,0,0.0,0.75
4,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
5,False,0.75,20,5,10,128,0.1,0,0.0,0.75
6,False,0.88165682554245,20,5,10,128,0.1,0,0.0,0.75
7,False,0.7777777910232544,20,5,10,128,0.1,0,0.0,0.75
8,False,0.7801857590675354,20,5,10,128,0.1,0,0.0,0.75
9,False,0.3186682462692261,20,5,10,128,0.1,0,0.0,0.75
10,False,0.598901093006134,20,5,10,128,0.1,0,0.0,0.75
11,False,0.429999977350235,20,5,10,128,0.1,0,0.0,0.75
12,False,0.2222222238779068,20,5,10,128,0.1,0,0.0,0.75
13,False,0.5833333134651184,20,5,10,128,0.1,0,0.0,0.75
14,False,0.8100000023841858,20,5,10,128,0.1,0,0.0,0.75
15,False,0.0033333334140479565,20,5,10,128,0.1,0,0.0,0.75
16,False,0.8844444751739502,20,5,10,128,0.1,0,0.0,0.75
17,False,0.8999999761581421,20,5,10,128,0.1,0,0.0,0.75
18,False,0.35147392749786377,20,5,10,128,0.1,0,0.0,0.75
19,False,0.8095238208770752,20,5,10,128,0.1,0,0.0,0.75
20,False,0.7599999904632568,20,5,10,128,0.1,0,0.0,0.75
21,False,0.5555555820465088,20,5,10,128,0.1,0,0.0,0.75
22,False,0.7899999618530273,20,5,10,128,0.1,0,0.0,0.75
23,False,0.7013888955116272,20,5,10,128,0.1,0,0.0,0.75
24,False,0.9099999666213989,20,5,10,128,0.1,0,0.0,0.75
25,False,0.8500000238418579,20,5,10,128,0.1,0,0.0,0.75
26,False,0.5709342956542969,20,5,10,128,0.1,0,0.0,0.75
27,False,0.6666666865348816,20,5,10,128,0.1,0,0.0,0.75
28,False,0.8148148059844971,20,5,10,128,0.1,0,0.0,0.75
29,False,0.8120300769805908,20,5,10,128,0.1,0,0.0,0.75
30,False,0.699999988079071,20,5,10,128,0.1,0,0.0,0.75
31,False,0.819444477558136,20,5,10,128,0.1,0,0.0,0.75
32,False,0.6499999761581421,20,5,10,128,0.1,0,0.0,0.75
33,False,0.10204081237316132,20,5,10,128,0.1,0,0.0,0.75
34,False,0.8866397142410278,20,5,10,128,0.1,0,0.0,0.75
35,False,0.608996570110321,20,5,10,128,0.1,0,0.0,0.75
36,False,0.6682692766189575,20,5,10,128,0.1,0,0.0,0.75
37,False,0.025974025949835777,20,5,10,128,0.1,0,0.0,0.75
38,False,0.38461539149284363,20,5,10,128,0.1,0,0.0,0.75
39,False,0.63671875,20,5,10,128,0.1,0,0.0,0.75
40,False,0.8125,20,5,10,128,0.1,0,0.0,0.75
41,False,0.7800000309944153,20,5,10,128,0.1,0,0.0,0.75
42,False,0.7866666913032532,20,5,10,128,0.1,0,0.0,0.75
43,False,0.0,20,5,10,128,0.1,0,0.0,0.75
44,False,0.8799999952316284,20,5,10,128,0.1,0,0.0,0.75
45,False,0.7573964595794678,20,5,10,128,0.1,0,0.0,0.75
46,False,0.48148149251937866,20,5,10,128,0.1,0,0.0,0.75
47,False,0.8125,20,5,10,128,0.1,0,0.0,0.75
48,False,0.6899999976158142,20,5,10,128,0.1,0,0.0,0.75
49,False,0.47999998927116394,20,5,10,128,0.1,0,0.0,0.75
50,False,0.7599999904632568,20,5,10,128,0.1,0,0.0,0.75
51,False,0.49222221970558167,20,5,10,128,0.1,0,0.0,0.75
52,False,0.0,20,5,10,128,0.1,0,0.0,0.75
53,False,0.8148148059844971,20,5,10,128,0.1,0,0.0,0.75
54,False,0.9752065539360046,20,5,10,128,0.1,0,0.0,0.75
55,False,0.7222222089767456,20,5,10,128,0.1,0,0.0,0.75
56,False,0.9236111044883728,20,5,10,128,0.1,0,0.0,0.75
57,False,0.8984375,20,5,10,128,0.1,0,0.0,0.75
58,False,0.3199999928474426,20,5,10,128,0.1,0,0.0,0.75
59,False,0.7316176295280457,20,5,10,128,0.1,0,0.0,0.75
60,False,0.8409091234207153,20,5,10,128,0.1,0,0.0,0.75
61,False,0.7400000095367432,20,5,10,128,0.1,0,0.0,0.75
62,False,0.9199999570846558,20,5,10,128,0.1,0,0.0,0.75
63,False,0.3333333432674408,20,5,10,128,0.1,0,0.0,0.75
64,False,0.6666666865348816,20,5,10,128,0.1,0,0.0,0.75
65,False,0.8928571343421936,20,5,10,128,0.1,0,0.0,0.75
66,False,0.8000000715255737,20,5,10,128,0.1,0,0.0,0.75
67,False,0.7400000095367432,20,5,10,128,0.1,0,0.0,0.75
68,False,0.8106508851051331,20,5,10,128,0.1,0,0.0,0.75
69,False,0.0,20,5,10,128,0.1,0,0.0,0.75
70,False,0.9102564454078674,20,5,10,128,0.1,0,0.0,0.75
71,False,0.31790122389793396,20,5,10,128,0.1,0,0.0,0.75
72,False,0.8545454144477844,20,5,10,128,0.1,0,0.0,0.75
73,False,0.8403362035751343,20,5,10,128,0.1,0,0.0,0.75
74,False,0.42105263471603394,20,5,10,128,0.1,0,0.0,0.75
75,False,0.7999999523162842,20,5,10,128,0.1,0,0.0,0.75
76,False,0.3801652789115906,20,5,10,128,0.1,0,0.0,0.75
77,False,0.5858585834503174,20,5,10,128,0.1,0,0.0,0.75
78,False,0.9513888955116272,20,5,10,128,0.1,0,0.0,0.75
79,False,0.790123462677002,20,5,10,128,0.1,0,0.0,0.75
80,False,0.5600000023841858,20,5,10,128,0.1,0,0.0,0.75
81,False,0.75,20,5,10,128,0.1,0,0.0,0.75
82,False,0.9027777910232544,20,5,10,128,0.1,0,0.0,0.75
83,False,0.0,20,5,10,128,0.1,0,0.0,0.75
84,False,0.5999999642372131,20,5,10,128,0.1,0,0.0,0.75
85,False,0.7199999690055847,20,5,10,128,0.1,0,0.0,0.75
86,False,0.5454545617103577,20,5,10,128,0.1,0,0.0,0.75
87,False,0.7407407760620117,20,5,10,128,0.1,0,0.0,0.75
88,False,0.45777779817581177,20,5,10,128,0.1,0,0.0,0.75
89,False,0.75,20,5,10,128,0.1,0,0.0,0.75
90,False,0.8700000047683716,20,5,10,128,0.1,0,0.0,0.75
91,False,0.0,20,5,10,128,0.1,0,0.0,0.75
92,False,0.0,20,5,10,128,0.1,0,0.0,0.75
93,False,0.9090908765792847,20,5,10,128,0.1,0,0.0,0.75
94,False,0.7407407760620117,20,5,10,128,0.1,0,0.0,0.75
95,False,0.5555555820465088,20,5,10,128,0.1,0,0.0,0.75
96,False,0.7037037014961243,20,5,10,128,0.1,0,0.0,0.75
97,False,0.0,20,5,10,128,0.1,0,0.0,0.75
98,False,0.8148148059844971,20,5,10,128,0.1,0,0.0,0.75
99,False,0.6527777910232544,20,5,10,128,0.1,0,0.0,0.75
100,False,0.7871148586273193,20,5,10,128,0.1,0,0.0,0.75
101,False,0.6530612111091614,20,5,10,128,0.1,0,0.0,0.75
102,False,0.8849206566810608,20,5,10,128,0.1,0,0.0,0.75
103,False,0.6857143044471741,20,5,10,128,0.1,0,0.0,0.75
104,False,0.0,20,5,10,128,0.1,0,0.0,0.75
105,False,0.06122449040412903,20,5,10,128,0.1,0,0.0,0.75
106,False,0.01666666753590107,20,5,10,128,0.1,0,0.0,0.75
107,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
108,False,0.8100000023841858,20,5,10,128,0.1,0,0.0,0.75
109,False,0.2222222238779068,20,5,10,128,0.1,0,0.0,0.75
110,False,0.9199999570846558,20,5,10,128,0.1,0,0.0,0.75
111,False,0.8383838534355164,20,5,10,128,0.1,0,0.0,0.75
112,False,0.2392157018184662,20,5,10,128,0.1,0,0.0,0.75
113,False,0.8374291062355042,20,5,10,128,0.1,0,0.0,0.75
114,False,0.9300000071525574,20,5,10,128,0.1,0,0.0,0.75
115,False,0.4904305934906006,20,5,10,128,0.1,0,0.0,0.75
116,False,0.6666666865348816,20,5,10,128,0.1,0,0.0,0.75
117,False,0.21487602591514587,20,5,10,128,0.1,0,0.0,0.75
118,False,0.7799999713897705,20,5,10,128,0.1,0,0.0,0.75
119,False,0.0,20,5,10,128,0.1,0,0.0,0.75
120,False,0.4375,20,5,10,128,0.1,0,0.0,0.75
121,False,0.0,20,5,10,128,0.1,0,0.0,0.75
122,False,0.4375,20,5,10,128,0.1,0,0.0,0.75
123,False,0.6399999856948853,20,5,10,128,0.1,0,0.0,0.75
124,False,0.0625,20,5,10,128,0.1,0,0.0,0.75
125,False,0.4761904776096344,20,5,10,128,0.1,0,0.0,0.75
126,False,0.80952388048172,20,5,10,128,0.1,0,0.0,0.75
127,False,0.7899999618530273,20,5,10,128,0.1,0,0.0,0.75
128,False,0.8120300769805908,20,5,10,128,0.1,0,0.0,0.75
129,False,0.6734693646430969,20,5,10,128,0.1,0,0.0,0.75
130,False,0.8024691343307495,20,5,10,128,0.1,0,0.0,0.75
131,False,0.1428571343421936,20,5,10,128,0.1,0,0.0,0.75
132,False,0.4050000011920929,20,5,10,128,0.1,0,0.0,0.75
133,False,0.8725000023841858,20,5,10,128,0.1,0,0.0,0.75
134,False,0.9102564454078674,20,5,10,128,0.1,0,0.0,0.75
135,False,0.6399999856948853,20,5,10,128,0.1,0,0.0,0.75
136,False,0.7777777910232544,20,5,10,128,0.1,0,0.0,0.75
137,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
138,False,0.0,20,5,10,128,0.1,0,0.0,0.75
139,False,0.23828125,20,5,10,128,0.1,0,0.0,0.75
140,False,0.9466667175292969,20,5,10,128,0.1,0,0.0,0.75
141,False,0.0,20,5,10,128,0.1,0,0.0,0.75
142,False,0.8300653696060181,20,5,10,128,0.1,0,0.0,0.75
143,False,0.29249998927116394,20,5,10,128,0.1,0,0.0,0.75
144,False,0.3176470696926117,20,5,10,128,0.1,0,0.0,0.75
145,False,0.7692307829856873,20,5,10,128,0.1,0,0.0,0.75
146,False,0.3199999928474426,20,5,10,128,0.1,0,0.0,0.75
147,False,0.4082840383052826,20,5,10,128,0.1,0,0.0,0.75
148,False,0.6200000047683716,20,5,10,128,0.1,0,0.0,0.75
149,False,0.0,20,5,10,128,0.1,0,0.0,0.75
150,False,0.8399999737739563,20,5,10,128,0.1,0,0.0,0.75
151,False,0.8660714626312256,20,5,10,128,0.1,0,0.0,0.75
152,False,0.7268908023834229,20,5,10,128,0.1,0,0.0,0.75
153,False,0.65625,20,5,10,128,0.1,0,0.0,0.75
154,False,0.7009804248809814,20,5,10,128,0.1,0,0.0,0.75
155,False,0.699999988079071,20,5,10,128,0.1,0,0.0,0.75
156,False,0.8752834796905518,20,5,10,128,0.1,0,0.0,0.75
157,False,0.7936508655548096,20,5,10,128,0.1,0,0.0,0.75
158,False,0.6964285969734192,20,5,10,128,0.1,0,0.0,0.75
159,False,0.9099999666213989,20,5,10,128,0.1,0,0.0,0.75
160,False,0.8614957928657532,20,5,10,128,0.1,0,0.0,0.75
161,False,0.9111111164093018,20,5,10,128,0.1,0,0.0,0.75
162,False,0.4844444692134857,20,5,10,128,0.1,0,0.0,0.75
163,False,0.2711111307144165,20,5,10,128,0.1,0,0.0,0.75
164,False,0.6399999856948853,20,5,10,128,0.1,0,0.0,0.75
165,False,0.7224999666213989,20,5,10,128,0.1,0,0.0,0.75
166,False,0.6699999570846558,20,5,10,128,0.1,0,0.0,0.75
167,False,0.6111111044883728,20,5,10,128,0.1,0,0.0,0.75
168,False,0.6800000071525574,20,5,10,128,0.1,0,0.0,0.75
169,False,0.2666666805744171,20,5,10,128,0.1,0,0.0,0.75
170,False,0.659649133682251,20,5,10,128,0.1,0,0.0,0.75
171,False,0.4399999976158142,20,5,10,128,0.1,0,0.0,0.75
172,False,0.44897958636283875,20,5,10,128,0.1,0,0.0,0.75
